File_name,Time,Errors,Score
X07_Pea_on_a_Peg_01,156.2202,1,171.2202
X07_Pea_on_a_Peg_02,107.7084,0,107.7084
X07_Pea_on_a_Peg_03,127.706,1,142.70600000000002
X07_Pea_on_a_Peg_04,109.1628,1,124.1628
X07_Pea_on_a_Peg_05,87.5044,0,87.5044
X07_Pea_on_a_Peg_06,92.1806,0,92.1806
X07_Wire_Chaser_I_01,28.081,0,28.081
X07_Wire_Chaser_I_02,13.5363,0,13.5363
X07_Wire_Chaser_I_03,19.7905,0,19.7905
X07_Wire_Chaser_I_04,24.5544,0,24.5544
X07_Wire_Chaser_I_05,15.7329,0,15.7329
X07_Wire_Chaser_I_06,22.7961,0,22.7961
X08_Post_and_Sleeve_01,180.5377,0,180.5377
X08_Post_and_Sleeve_02,129.5161,0,129.5161
X08_Post_and_Sleeve_03,102.2467,0,102.2467
X08_Post_and_Sleeve_04,117.9387,0,117.9387
X08_Post_and_Sleeve_05,113.5502,0,113.5502
X08_Post_and_Sleeve_06,123.8604,0,123.8604
X08_Pea_on_a_Peg_01,151.4804,0,151.4804
X08_Pea_on_a_Peg_02,153.2254,0,153.2254
X08_Pea_on_a_Peg_03,159.3818,0,159.3818
X08_Pea_on_a_Peg_04,209.5096,0,209.5096
X08_Pea_on_a_Peg_05,111.4282,0,111.4282
X08_Pea_on_a_Peg_06,135.1588,0,135.1588
X08_Wire_Chaser_I_01,42.9092,0,42.9092
X08_Wire_Chaser_I_02,36.6337,1,46.6337
X08_Wire_Chaser_I_03,27.3869,0,27.3869
X08_Wire_Chaser_I_04,26.958000000000002,0,26.958000000000002
X08_Wire_Chaser_I_05,27.7894,0,27.7894
X08_Wire_Chaser_I_06,29.3533,0,29.3533
X09_Post_and_Sleeve_01,129.1671,0,129.1671
X09_Post_and_Sleeve_02,125.8245,0,125.8245
X09_Post_and_Sleeve_03,90.7316,0,90.7316
X09_Post_and_Sleeve_04,85.5989,0,85.5989
X09_Pea_on_a_Peg_01,179.2856,0,179.2856
X09_Pea_on_a_Peg_02,114.1151,1,129.1151
X09_Pea_on_a_Peg_03,122.6067,0,122.6067
X09_Pea_on_a_Peg_04,195.3051,0,195.3051
X09_Pea_on_a_Peg_05,177.976,0,177.976
X09_Pea_on_a_Peg_06,143.172,0,143.172
X09_Wire_Chaser_I_01,82.7053,1,92.7053
X09_Wire_Chaser_I_02,31.4683,0,31.4683
X09_Wire_Chaser_I_03,36.1606,0,36.1606
X09_Wire_Chaser_I_04,29.1678,0,29.1678
X09_Wire_Chaser_I_05,22.1068,0,22.1068
X09_Wire_Chaser_I_06,16.9332,0,16.9332
X10_Post_and_Sleeve_01,160.0145,1,175.0145
X10_Post_and_Sleeve_02,131.5306,2,161.5306
X10_Post_and_Sleeve_03,96.0364,0,96.0364
X10_Post_and_Sleeve_04,99.8311,0,99.8311
X10_Post_and_Sleeve_05,79.4968,0,79.4968
X10_Post_and_Sleeve_06,76.4224,0,76.4224
X10_Pea_on_a_Peg_01,167.0937,1,182.0937
